NO.,Time (s),60W (50V),84W (60V),119W (70V),152W (80V),198W (90V),240W (100V),297W (110V),348W (120V),403W (130V),476W (140V),570W (150V),624W (160V),714W (170V),792W (180V),836W (190V),880W (200V)
1,0.2,79.7,81.6,82.6,84.7,85,90.3,88.4,90,98.6,94.4,100,98.4,102.6,100.5,101,101
2,0.4,79.8,81.4,82.4,84.9,85.3,88.7,87.2,90.3,96.7,93.5,95,100.5,101.4,101,100.3,101
3,0.6,80,81.3,83,84.5,85,89.2,88.6,89.8,94,91.7,97.9,97.8,101.3,101.5,101.1,100.6
4,0.8,79.6,81.3,82.8,84.4,85.7,88.8,88.4,89.3,94.6,92.8,96.5,99.2,101.3,100.6,101.3,101.2
5,1,79.8,81.7,82.8,84.7,85.3,88.9,88.1,87.3,93.5,91.8,94.7,93.6,101.5,100,101.2,100.9
6,1.2,79.8,81.7,82.6,85,85.6,89.7,87.9,88.7,91.1,89.9,98,100.1,101.4,100.1,101.3,101.4
7,1.4,79.8,81.7,82.7,84.4,85.4,89.4,87.7,90,92.6,92.6,101,100.6,101,100.9,100.9,101
8,1.6,79.7,81.9,82.9,84.3,85,89.5,88.1,87.7,88.8,93.2,100.3,98.6,100.9,101,100.9,101
9,1.8,79.6,81.5,82.5,84.7,85.1,88.4,88.5,89.3,92.2,90.1,99.5,99.1,101.3,100.8,100.9,100.9
10,2,79.8,81.4,83,84.9,86,87.7,87.2,87.5,89.8,95,100.3,98.6,100.7,100.4,101.4,100.9
11,2.2,79.7,81.4,82.5,84.4,85.7,88.4,87.5,88.2,92.9,90.7,99.4,96.1,100.7,100.3,100.3,101
12,2.4,79.6,81.5,82.6,84.5,84.8,86.7,87.6,89.4,92.3,92.8,96.2,101.5,100.2,100.7,101.2,101.1
13,2.6,79.7,81.5,82.6,85.4,85,87,87,90.5,89.9,96.1,98,98.9,99,100.9,101.3,100.7
14,2.8,79.5,81.4,82.5,84.4,85.3,86.1,87,89.5,90.3,96.7,98.7,99.5,100.2,100.1,100.9,101.1
15,3,79.6,81.7,82.5,84.1,85.8,86,87.9,91.9,95.2,97.5,97.9,98.7,100.7,100.2,101.5,101
16,3.2,79.8,81.4,82.9,84.6,85.2,86.1,88.1,90.9,98.6,99.2,100.8,101.5,100.7,101.5,101,101.3
17,3.4,79.9,81.5,82.7,84.8,85.3,85.7,87.8,92.4,96.9,96.6,96,100.3,101.1,101,100.9,100.7
18,3.6,79.8,81.4,82.8,84.5,85.8,86,88,88,99,95,96.9,100,100.8,101.5,100.3,100.9
19,3.8,79.6,81.5,82.9,84.4,85.3,86.6,86.9,90.1,95.6,94.7,100.3,99.3,100.7,101.2,101.3,101
