NO.,Time (s),60W (50V),84W (60V),119W (70V),152W (80V),198W (90V),240W (100V),297W (110V),348W (120V),403W (130V),476W (140V),570W (150V),624W (160V),714W (170V),792W (180V),836W (190V),880W (200V)
1,0.2,78.9,80.3,81.4,80.8,82.3,84.2,88.4,89.7,92.8,93.3,90.9,87.8,87.8,91.3,90.9,101.8
2,0.4,78.9,80.1,81.1,81.2,82.4,84.9,87.8,89.7,92.4,93.6,89.2,88.5,88.8,92.9,92.3,101.6
3,0.6,78.9,80.1,81.4,81.4,82.3,84.7,88.6,90.1,93,93.6,88.3,88.3,90,92.9,100.7,101.1
4,0.8,78.9,80,81,81.1,82.7,84.8,88.1,89.7,92.9,93.8,90.6,89.1,95.8,92.6,95.6,101.6
5,1,78.9,80.3,81.4,81.2,82.1,84.5,88,89.7,92.2,93.8,87.2,88.4,99,92.1,99.5,101.6
6,1.2,78.9,80.1,81.2,81.2,82.4,84.5,88.3,89.6,92.6,94.1,91.3,89.9,90.9,91.7,94.5,100.9
7,1.4,78.9,80.1,81.4,81.4,82.5,84.1,87.3,89.3,92.3,94.2,87,90.4,90.2,92.2,97.3,101.8
8,1.6,78.9,80.1,81,81.2,83,84.3,87.7,89.2,92.7,93.2,87.4,90,92.2,96,89.8,102.1
9,1.8,78.8,80,80.9,81.3,82,85.3,87.1,89.7,92.3,93.8,86.9,89.3,95.1,92.1,93.5,101.8
10,2,78.9,80.5,81,81.1,82.5,84.6,89.2,89.5,92.6,94.1,86.7,88.5,90.6,94.9,93.8,101.7
11,2.2,78.9,80.6,81.2,81.1,82.4,84.6,87.9,89.7,92.9,94.2,88.4,93.2,89.8,95.3,95.7,101.6
12,2.4,78.9,80.1,80.7,81.1,82.2,84.4,88.2,89.5,92.9,93.8,88.8,90.8,90.2,91.2,90.5,101.2
13,2.6,78.9,80.1,80.9,81.2,82.5,84.4,88.6,89.7,92.6,93.8,91.5,93.7,90.7,91.4,93.9,101.3
14,2.8,78.9,80,81.5,81.2,82.6,84.4,88,90,92.8,95,91.3,91.5,88.1,90.5,92.1,101.5
15,3,78.9,80,81.1,81,82.1,84.7,88,89.4,92.7,93.7,90.6,89.1,90.9,92.1,91.5,101.7
16,3.2,78.9,80.1,81.1,81.5,82.3,84.5,87.6,89.5,93,93.3,86.7,88.4,91.3,91.8,92,101.6
17,3.4,78.9,80.1,81,81.2,82.3,84.4,87.8,89.8,92.4,93,88.5,87,90.5,89,93.3,101.7
18,3.6,78.8,80.1,81.5,80.9,82.6,84.9,88.1,89.3,93.2,93,87.3,90.4,91.5,89,91.1,101.6
19,3.8,78.9,80.7,81.8,81.2,82.3,84.4,87.9,90,93.3,93.1,89.2,89.7,90.3,90.8,93.2,101.2
20,4,78.9,80.3,81.1,81.3,82.3,84.9,87.2,89.7,92.9,93.6,90.4,89.7,90.9,91.3,91.7,101.7
21,4.2,78.9,80.2,81.2,80.9,82,84.3,87.2,89.2,92.4,93.9,88.3,88.5,90.7,91.4,89.7,101.4
22,4.4,78.9,80,81,81,82.1,84.6,89.4,89.3,92.9,93.5,88.4,90.2,88.4,88.3,91.2,101.8
23,4.6,78.9,80.4,81.5,81.2,82.1,84.4,89.3,89.7,93.4,93.7,91.2,90.7,88.7,88.6,92.6,101.2
24,4.8,78.9,80.3,81.5,81.2,82.2,84.4,87.3,89.8,93,93.6,89.1,89.2,91.1,93.7,89,101.8
25,5,78.9,80.4,81.5,81.2,82.1,84.4,87.4,90,93.3,94.2,88.7,88.3,91.6,91,94.7,101.1
26,5.2,78.8,80.3,81.3,81.5,81.9,84.4,87.8,89.8,92.5,93,90.9,91.8,89.8,91.3,93.6,101.7
27,5.4,78.9,80.4,81.4,81.8,82.2,84.7,88.6,89.8,92.3,94.1,87.5,89.6,90.9,90.7,92,101.9
28,5.6,78.9,80,81,80.9,82.1,84.4,87.5,89.8,92.1,93.4,87.2,90.9,88.1,90.4,93.8,101.6
29,5.8,78.9,80,81.2,81.2,82.3,85.2,87.7,89.3,92.6,94.1,87.8,90,93.3,92.2,90.8,101.6
30,6,78.9,80,81.3,81.1,82.3,84.8,88.3,89.5,91.9,93.2,90.3,92.3,91.9,91,94.9,101.5
31,6.2,78.9,80,81.2,81.2,82.2,84.6,88,89.7,91.9,93.8,92.8,92.9,87,92.1,93.3,101.9
32,6.4,78.8,80,80.7,81.2,81.9,84.4,86.9,89.7,92.4,93.1,88.5,91.6,89.8,90,91.6,102
33,6.6,78.8,80.1,81.1,81.4,81.9,84.7,87,90.1,92.4,93.2,90.3,88.1,92.2,89.2,91.2,102.1
34,6.8,78.8,80,80.8,81,81.9,84.4,87.3,89.8,92.3,93.5,89.4,90.2,92,88.9,94.5,101.7
35,7,78.9,80.4,80.9,81.3,82,84.3,88.3,89.7,92.3,93.2,88.6,87.8,91.3,90.7,91.9,102.4
36,7.2,78.8,80,81,81.2,82.3,85.2,87,89.5,92.6,93.5,90.9,87.7,88.3,91,93.4,101.9
37,7.4,78.9,80.1,81.2,81.2,82,84.8,88.6,89.6,92.6,93.4,92.9,88.8,91.7,93.5,94.9,102.2
38,7.6,78.9,80,81.4,81.2,82.1,84.9,87.4,90.2,92.2,93,88.4,90.7,89.8,99.6,89.8,101.6
39,7.8,78.9,80,81.4,81.1,82.1,84.7,88.7,89.5,92.5,93,88.6,91.2,94.3,90.1,92.7,101.5
