NO.,Time (s),60W (50V),84W (60V),119W (70V),152W (80V),198W (90V),240W (100V),297W (110V),348W (120V),403W (130V),476W (140V),570W (150V),624W (160V),714W (170V),792W (180V),836W (190V),880W (200V)
1,0.2,78.3,79,80.7,80.6,81.4,82.7,85.4,86.6,90.6,90.3,98.3,96,99.3,98.7,99.8,101.3
2,0.4,78.3,79,80.4,80.7,81.5,82.4,85.8,86.1,88.3,92,100.1,99.6,98.1,97.9,99.3,101.2
3,0.6,78.4,79,80.7,80.6,81.8,82.3,86.3,86.2,87.1,93.6,97,99,97.6,99.9,99.9,100.8
4,0.8,78.4,79.1,80.3,80.7,81.8,82.3,86.1,86.8,88.4,92.3,100.4,96.6,98.9,98.4,99.8,101
5,1,78.1,79,80.6,80.5,81.8,82.3,85.5,86.5,87.4,88.9,97.5,95.8,99,99.3,99.2,100.7
6,1.2,78.1,79,80.3,80.7,81.6,82.4,85.5,86.4,88.4,88.9,94.7,96.1,98.1,99.2,100.1,100.7
7,1.4,78.3,79,80.5,80.9,81.4,82.3,86.1,86.9,87,93,95.3,96.4,99.8,99.2,100,100.7
8,1.6,78.3,79,80.8,80.9,81.1,82.9,86.4,85.7,85.5,86.9,96.6,94.6,99.2,98.7,99.8,100.6
9,1.8,78.3,79,80.4,80.7,81.7,82.1,85.8,84.5,87.2,88.3,93.1,93.3,99.2,99.7,99.8,100.6
10,2,78.2,79.2,80.5,80.3,81.4,82.4,86.6,86.9,87.1,89.5,91.7,96.3,98.1,99.5,99.8,100.7
11,2.2,78.3,79.2,80.7,80.9,80.9,83,86.6,87.2,86.4,96.3,92.1,97.6,98.7,98.2,99.5,101.1
12,2.4,78.3,79.3,81.1,81,81.4,82.3,87.3,85.2,86.4,99.8,92.3,98.2,98.4,98.7,99.7,100.9
13,2.6,78.4,79,80.7,80.4,81.5,82.6,87.2,84.4,85.8,91.2,97.9,93.4,97.7,99.4,100,101.2
14,2.8,78.3,79.2,80.5,80.4,81.6,82.4,87,84.4,86.4,88.8,84.9,97.6,98,99.2,99.8,101
15,3,78.3,79,80.5,80.9,81.6,82.3,87.3,84.4,86.3,92.6,91.6,97.3,98.7,98.7,99.7,101
16,3.2,78.3,79,80.4,81.3,81.4,82.5,87,83.8,86.7,91.9,100.4,99,98.4,97.8,100.1,100.8
17,3.4,78.4,78.9,80.4,80.8,81,82.5,86.9,83.7,87,91,97.2,97.6,99.4,98.6,100.6,100.9
18,3.6,78.4,78.9,80.5,80.8,81.2,82.7,86.4,83.6,86.9,90.6,95.5,96.9,98.9,99.2,99.7,100.7
19,3.8,78.4,79,80.5,80.7,81.4,82.3,86.1,84.1,87,91,94.3,98.1,98.1,99.3,100.6,101
20,4,78.4,79,80.4,80.6,81.4,82.5,86.6,84,88.3,87.7,95.2,97.6,97.9,98.5,100.4,100.6
21,4.2,78.4,79,80.3,80.6,81.4,82.1,86.1,84.4,88,83.8,94.7,96.1,98.4,99.6,100.7,100.8
22,4.4,78.4,78.9,80.6,80.4,81.5,82.3,85.6,85.2,86.3,86.5,99.4,92.9,98.1,99.8,100.4,101.2
23,4.6,78.4,78.9,80.4,80.9,81,82.2,84.5,84.7,85.5,82.1,96.3,98.1,99.5,99.3,100.1,100.9
24,4.8,78.4,78.9,80.6,81,81.1,82.6,84.9,84.9,85.8,85.2,94.5,100.5,98.7,99.2,100.4,101.2
25,5,78.4,78.9,80.7,80.7,81.5,83,83.8,84.7,87.1,86.3,92.6,98.7,97.5,99.6,100,101.2
26,5.2,78.3,79,80.9,80.6,81.4,82.3,84,84.4,85.3,97.3,96.8,98.1,97.3,99.3,100.2,100.9
27,5.4,78.4,79,80.5,80.9,81,82.1,83.7,83.8,86,97.5,87.3,97,98.1,99.6,100.1,101
28,5.6,78.3,79,80.5,80.7,81.5,82.9,84.5,84.9,85.7,97.7,86.4,98.6,98.1,99.8,100.3,101
29,5.8,78.4,79,80.6,80.8,81.2,82.4,84.1,84.9,85.7,100,91.3,96,97.3,100,100,100.8
30,6,78.4,78.9,80.4,81,81.3,82.5,84.5,85.5,85.3,93.5,92.6,98.4,97.1,99.1,100.1,101.3
31,6.2,78.3,79,80.7,80.7,81.4,82.4,84.1,84.9,85.3,91.8,93.5,95.8,98,98.7,100.4,100.8
32,6.4,78.3,79,80.6,80.5,80.9,82.3,83.2,85,85,94,91.7,96.1,97.3,99.6,100.4,100.9
33,6.6,78.4,78.9,80.4,80.9,80.9,82.2,83.6,85.7,84.8,92.9,92.6,94.9,97.9,100,100.6,100.8
34,6.8,78.3,79.1,80.5,80.9,81.2,82.5,83.7,85.5,84.5,92.4,93.8,85.2,96.6,99.6,100.1,100.7
35,7,78.3,79,80.5,80.8,81.4,82.8,84.1,86,85.6,91,93.6,92.6,97.8,99.2,100.6,100.4
36,7.2,78.3,79,80.7,80.7,81.2,82.3,84.1,86.3,85.2,90.1,90.1,96.7,98.2,99.8,100.6,100.4
37,7.4,78.3,79,80.4,80.9,81,82.1,84.3,86,85.2,86.8,87,96.9,98.1,98.9,100.6,100.6
38,7.6,78.3,79,80.6,80.7,81.1,82.5,84.1,85.7,84.5,85.4,85.8,97.3,97.3,99.4,100.4,100.7
39,7.8,78.3,79,80.6,80.5,81,82.1,83.9,86.1,85.3,88.9,93.3,95.3,97.5,99.2,100.4,100.7
40,8,78.3,79,80.7,80.4,81.4,82.8,83.7,86.6,84.9,85.5,97.5,93.9,97.5,99.8,100.4,100.4
41,8.2,78.4,79,81,80.4,81.4,82.3,83.8,86.5,86,87.7,101.6,101.9,97.1,99.8,100.3,100.6
42,8.4,78.3,79,80.9,80.6,81.2,82.4,85,86.9,89.1,87.4,100,100.9,97.5,98.8,99.7,101
43,8.6,78.3,79,80.3,80.9,81.2,82.9,85.3,87.1,89.1,84.8,98.8,99.4,97.2,99.3,100.9,100.7
44,8.8,78.3,79,81.1,80.6,81.4,82.3,84.7,87.8,89,86,97.6,97.6,97.8,99.7,99.8,100.7
45,9,78.3,79,80.4,81.1,81.4,82.5,84.6,88.1,89.7,86.1,95.8,96.9,97.6,98.2,100.6,100.7
46,9.2,78.4,79,80.6,80.9,81,82.6,84.2,87.3,89.8,86.9,97.5,95.9,97.5,99.2,100.4,100.9
47,9.4,78.4,79,80.6,80.8,80.7,82,84.7,87.1,88.8,85.8,100.8,95.9,98.7,100,100,100.7
48,9.6,78.3,79,80.5,80.6,81.2,82.7,84.1,87.2,89.1,85.7,94.7,94.9,97.7,100.2,100.1,100.9
49,9.8,78.4,78.9,80.6,80.7,81.4,82.5,83.5,85.3,85.7,84.2,96.3,96.1,98.3,99.6,100.4,100.9
50,10,78.3,79,80.8,80.7,80.8,82.5,84.1,84,87.7,84.1,90.9,94.1,97.8,98.8,100.1,100.6
51,10.2,78.3,79,80.8,80.9,80.8,82.8,84.3,86.6,87.3,84.3,94.6,95.1,97.4,100,100,100.6
52,10.4,78.4,79,80.9,80.7,81.3,82.8,83.8,85.8,86.9,85.2,98.4,96.7,98.4,98.9,100.4,100.9
53,10.6,78.3,79,80.7,80.3,81.3,82.2,84.6,84.6,86.7,84.3,99.6,95.3,98.9,99.8,99.9,100.7
54,10.8,78.4,79,80.7,80.7,81.5,82.3,83.7,84.7,85.5,90.6,97.8,95,97.3,99.5,100.1,100.5
55,11,78.5,79.2,80.4,80.6,81.4,82.5,84.7,85.6,84.9,91.8,95.4,95,98.7,99.5,100,100.9
56,11.2,78.4,79.1,80.6,80.8,80.5,82.5,84.6,84.1,84.8,99.3,95.3,90.8,98,100.3,100,100.4
57,11.4,78.3,79,81,81,81,82.1,84.4,84.9,84.4,100.1,96.9,90.5,97.5,98.4,100.7,101
58,11.6,78.3,79,80.9,80.7,80.7,82.4,83.3,83.7,84.5,100,98.1,98.9,99.1,100.1,101,100.9
