NO.,Time (s),60W (50V),84W (60V),119W (70V),152W (80V),198W (90V),240W (100V),297W (110V),348W (120V),403W (130V),476W (140V),570W (150V),624W (160V),714W (170V),792W (180V),836W (190V),880W (200V)
1,0.2,80.1,80.9,81.4,82.4,82.8,83.5,84.4,86.3,87.5,91,90.6,92.6,92.1,95.4,99.5,101.7
2,0.4,79.8,80.7,81.7,82.4,83.2,83.2,84.6,85.8,88,91.2,88.9,89,95.3,95,100.5,101.8
3,0.6,79.8,80.5,81.6,82.4,82.9,83.2,84.4,85.9,87.9,90.3,89.9,90.1,92.6,96.4,99.4,101.3
4,0.8,79.9,80.8,81.2,81.7,83.2,82.9,85,85.2,88,90.4,88.1,91.7,93.4,94.6,100.3,101.4
5,1,80,80.5,81.7,82.2,83,82.3,84.9,86,87.4,91.1,89,92.9,92.1,95.1,100.7,101.5
6,1.2,79.8,80.3,81.8,82.3,83.2,83,84.8,86,88.3,89.9,89.5,95.5,92.5,94.6,99.9,101.6
7,1.4,79.8,80.3,81.2,81.8,82.8,83.3,84.6,86.6,87.8,89.6,88,94,92,95,99.5,101.8
8,1.6,79.6,80.8,81.2,82.3,83,83.5,84.1,86.6,88.3,89.5,89.8,93.1,93.5,95,99.9,101.5
9,1.8,79.7,80.3,81.3,81.7,82.9,82.9,85.2,85.9,87.8,89.8,89.2,93,92.2,96.1,99.8,101.3
10,2,79.9,80.9,81.5,82.8,83.5,83.2,84.3,86.2,87.5,89.8,88.4,91.6,90.9,95.7,99.7,101.8
11,2.2,79.8,80.7,81.5,82,83,83.3,84.4,86.1,87.5,90.8,88.2,94.9,91.8,94.8,99.9,101.9
12,2.4,79.8,80.5,81.2,82.5,83.2,83.4,84.3,85.5,87.7,91.3,89.3,90,92.2,97.3,99.9,101.5
13,2.6,79.9,80.9,81.7,82.7,83.2,83,84.4,86.1,87.9,90,88.1,94,89.9,94.6,99.5,101
14,2.8,79.9,81.1,81.2,82.6,82.7,83,84.6,85.9,87.2,89.3,89.5,90.5,94,94.3,99.9,102.3
15,3,79.7,80.5,81.4,82.1,82.7,83.3,84.9,85.9,88.3,90.6,88.1,91.3,89.2,96.4,99.3,101.5
16,3.2,79.8,80.5,81.4,81.8,83.2,82.9,84.3,86.1,87.7,91.3,89.6,90.1,90.6,96.1,98.6,100.1
17,3.4,79.8,81.2,81.2,82.7,83.6,83.1,84.3,86.3,87.5,89.9,87.8,92.7,90.4,96.8,100,101.6
18,3.6,79.7,81.1,82,82.3,82.5,83,84.1,85.5,87.9,90.1,88.1,90,92.7,96.4,99.6,100.9
19,3.8,79.9,80.6,81.1,81.7,82.5,83.5,84.3,86.3,87.8,89.7,88.3,92,90.2,96.4,99.6,101.8
20,4,79.8,80.5,82,82.1,82.9,83.6,84.3,86.2,88.1,89.9,89.2,91.4,91.5,95.2,99.2,101.9
21,4.2,79.7,81,81.4,83.2,82.5,83,85.9,86,88.3,91.3,90.5,91.2,91.3,95.7,98.6,101.5
22,4.4,79.8,80.7,82.1,82,82.3,83,85.8,85.9,88,91.2,91.1,89.8,91,94.7,99.8,101.7
23,4.6,79.8,80.8,82.1,81.6,82.9,83.2,84.6,86.7,88,91.3,90.1,92.1,92.1,94.8,100,102.1
24,4.8,79.8,80.8,81.7,82.5,82.9,82.9,84.9,86.6,88.4,91.6,89.8,90.7,92.9,96.9,100.4,101.3
25,5,80,80.8,81.9,82.6,82.4,83.1,85.5,86,87.7,89.8,91,92.7,94.7,96.9,99.7,100.9
